139.59.1.14,3128,HTTP
194.182.178.90,3128,HTTP
200.106.184.129,999,HTTPS
8.213.129.15,80,HTTPS
45.76.196.51,80,HTTP
121.4.20.187,20000,HTTP
8.219.169.172,5555,HTTPS
102.130.133.102,53281,HTTP
160.119.135.210,3129,HTTP
45.169.92.152,999,HTTP
45.63.25.2,8888,HTTP
124.71.157.181,808,HTTPS
138.68.60.8,3128,HTTP
47.245.34.161,2080,HTTP
209.97.150.167,3128,HTTP
103.169.254.61,8068,HTTP
188.166.165.63,8888,HTTP
45.4.203.115,999,HTTP
209.97.150.167,8080,HTTP
194.182.163.117,3128,HTTP
74.103.66.15,80,HTTP
134.209.29.120,8080,HTTP
190.113.40.41,999,HTTP
194.182.187.78,3128,HTTP
167.71.5.83,8080,HTTP
47.91.45.235,8118,HTTPS
103.171.164.98,8080,HTTP
198.199.86.11,3128,HTTP
159.203.61.169,8080,HTTP
138.68.60.8,8080,HTTP
159.203.61.169,3128,HTTP
116.63.130.30,10443,HTTP
113.160.208.169,19132,HTTP
47.91.56.120,2080,HTTPS
